="",="(1)",="",="(2)",="",="(3)",="",="(4)",="",="(5)",="",="(6)",="",="(7)",="",="(8)",="",="(9)",="",="(10)",="",="(11)",="",="(12)",="",="(13)",="",="(14)",="",="(15)",="",="(16)",="",="(17)",="",="(18)",="",="(19)",="",="(20)",="",="(21)",="",="(22)",="",="(23)",="",="(24)",="",="(25)",="",="(26)",="",="(27)",="",="(28)",="",="(29)",="",="(30)",="",="(31)",="",="(32)",="",="(33)",="",="(34)",="",="(35)",="",="(36)",="",="(37)",="",="(38)",="",="(39)",="",="(40)",=""
="",="re_AIGranted_a",="",="re_AIGranted_a_2011_c",="",="re_AIGranted_a_2012_c",="",="re_AIGranted_a_2013_c",="",="re_AIGranted_a_2014_c",="",="re_AIGranted_a_2015_c",="",="re_AIGranted_a_2016_c",="",="re_AIGranted_a_2017_c",="",="re_AIGranted_a_2018_c",="",="re_AIGranted_a_2019_c",="",="re_AIPublished_a",="",="re_AIPublished_a_2011_c",="",="re_AIPublished_a_2012_c",="",="re_AIPublished_a_2013_c",="",="re_AIPublished_a_2014_c",="",="re_AIPublished_a_2015_c",="",="re_AIPublished_a_2016_c",="",="re_AIPublished_a_2017_c",="",="re_AIPublished_a_2018_c",="",="re_AIPublished_a_2019_c",="",="re_ICTGranted_a",="",="re_ICTGranted_a_2011_c",="",="re_ICTGranted_a_2012_c",="",="re_ICTGranted_a_2013_c",="",="re_ICTGranted_a_2014_c",="",="re_ICTGranted_a_2015_c",="",="re_ICTGranted_a_2016_c",="",="re_ICTGranted_a_2017_c",="",="re_ICTGranted_a_2018_c",="",="re_ICTGranted_a_2019_c",="",="re_ICTPublished_a",="",="re_ICTPublished_a_2011_c",="",="re_ICTPublished_a_2012_c",="",="re_ICTPublished_a_2013_c",="",="re_ICTPublished_a_2014_c",="",="re_ICTPublished_a_2015_c",="",="re_ICTPublished_a_2016_c",="",="re_ICTPublished_a_2017_c",="",="re_ICTPublished_a_2018_c",="",="re_ICTPublished_a_2019_c",=""
="AIGranted_a",="-0.552***",="(0.000)",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="trend",="-0.003",="(0.299)",="-0.009*",="(0.028)",="-0.009*",="(0.012)",="-0.006+",="(0.100)",="-0.003",="(0.334)",="-0.002",="(0.567)",="-0.002",="(0.474)",="-0.003",="(0.174)",="-0.004",="(0.118)",="-0.005",="(0.104)",="0.002",="(0.334)",="-0.001",="(0.710)",="-0.004",="(0.218)",="-0.002",="(0.541)",="0.002",="(0.573)",="0.003",="(0.312)",="0.002",="(0.317)",="0.001",="(0.557)",="0.003",="(0.255)",="0.003",="(0.329)",="0.013+",="(0.092)",="-0.002",="(0.832)",="-0.006",="(0.492)",="-0.001",="(0.897)",="0.005",="(0.541)",="0.010",="(0.204)",="0.013",="(0.106)",="0.013",="(0.120)",="0.012",="(0.200)",="0.004",="(0.659)",="-0.007",="(0.457)",="-0.031**",="(0.008)",="-0.028**",="(0.004)",="-0.021*",="(0.016)",="-0.014",="(0.105)",="-0.007",="(0.403)",="-0.008",="(0.440)",="-0.012",="(0.198)",="-0.008",="(0.309)",="-0.006",="(0.400)"
="re1",="",="",="-24.691*",="(0.043)",="-24.327*",="(0.015)",="-11.270",="(0.166)",="-2.133",="(0.738)",="3.916",="(0.410)",="6.850*",="(0.041)",="6.084*",="(0.016)",="3.614",="(0.112)",="2.121",="(0.248)",="",="",="-5.246",="(0.197)",="-8.530*",="(0.020)",="-5.775+",="(0.066)",="-1.396",="(0.502)",="0.376",="(0.816)",="1.403",="(0.249)",="0.716",="(0.425)",="-0.593",="(0.209)",="-0.371",="(0.124)",="",="",="-1.508***",="(0.001)",="-1.586***",="(0.000)",="-1.662***",="(0.000)",="-1.746***",="(0.000)",="-1.704**",="(0.002)",="-1.729**",="(0.007)",="-1.523*",="(0.036)",="-1.420+",="(0.097)",="-0.571",="(0.479)",="",="",="-0.296",="(0.213)",="-0.499*",="(0.033)",="-0.684*",="(0.016)",="-0.829*",="(0.025)",="-0.757",="(0.129)",="-0.084",="(0.894)",="0.489",="(0.325)",="0.225",="(0.501)",="0.124",="(0.613)"
="re2",="",="",="24.234*",="(0.047)",="23.865*",="(0.017)",="10.752",="(0.186)",="1.584",="(0.804)",="-4.465",="(0.349)",="-7.364*",="(0.029)",="-6.558*",="(0.010)",="-4.077+",="(0.071)",="-2.573",="(0.151)",="",="",="4.984",="(0.221)",="8.283*",="(0.024)",="5.509+",="(0.079)",="1.109",="(0.593)",="-0.663",="(0.682)",="-1.674",="(0.169)",="-0.981",="(0.268)",="0.289",="(0.508)",="0.074",="(0.719)",="",="",="0.453+",="(0.057)",="0.578**",="(0.006)",="0.462*",="(0.023)",="0.319+",="(0.098)",="0.142",="(0.441)",="0.091",="(0.634)",="-0.011",="(0.955)",="-0.041",="(0.850)",="-0.273",="(0.175)",="",="",="0.496**",="(0.005)",="0.524**",="(0.001)",="0.476**",="(0.003)",="0.407*",="(0.019)",="0.260",="(0.196)",="-0.068",="(0.765)",="-0.287+",="(0.084)",="-0.227*",="(0.034)",="-0.242**",="(0.003)"
="AIPublished_a",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="-0.288***",="(0.000)",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="ICTGranted_a",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="-1.553**",="(0.001)",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="ICTPublished_a",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="-0.249",="(0.407)",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="_cons",="5.500***",="(0.000)",="5.514***",="(0.000)",="5.519***",="(0.000)",="5.512***",="(0.000)",="5.502***",="(0.000)",="5.490***",="(0.000)",="5.478***",="(0.000)",="5.473***",="(0.000)",="5.477***",="(0.000)",="5.479***",="(0.000)",="5.521***",="(0.000)",="5.526***",="(0.000)",="5.534***",="(0.000)",="5.534***",="(0.000)",="5.526***",="(0.000)",="5.518***",="(0.000)",="5.508***",="(0.000)",="5.509***",="(0.000)",="5.528***",="(0.000)",="5.525***",="(0.000)",="5.918***",="(0.000)",="5.801***",="(0.000)",="5.803***",="(0.000)",="5.857***",="(0.000)",="5.915***",="(0.000)",="5.938***",="(0.000)",="5.955***",="(0.000)",="5.910***",="(0.000)",="5.884***",="(0.000)",="5.659***",="(0.000)",="5.584***",="(0.000)",="5.419***",="(0.000)",="5.518***",="(0.000)",="5.636***",="(0.000)",="5.739***",="(0.000)",="5.757***",="(0.000)",="5.522***",="(0.000)",="5.291***",="(0.000)",="5.399***",="(0.000)",="5.443***",="(0.000)"
