="",="(1)",="",="(2)",="",="(3)",="",="(4)",="",="(5)",="",="(6)",="",="(7)",="",="(8)",="",="(9)",="",="(10)",="",="(11)",="",="(12)",="",="(13)",="",="(14)",="",="(15)",="",="(16)",="",="(17)",="",="(18)",="",="(19)",="",="(20)",="",="(21)",="",="(22)",="",="(23)",="",="(24)",="",="(25)",="",="(26)",="",="(27)",="",="(28)",="",="(29)",="",="(30)",="",="(31)",="",="(32)",="",="(33)",="",="(34)",="",="(35)",="",="(36)",="",="(37)",="",="(38)",="",="(39)",="",="(40)",="",="(41)",="",="(42)",="",="(43)",="",="(44)",="",="(45)",="",="(46)",="",="(47)",="",="(48)",="",="(49)",="",="(50)",="",="(51)",="",="(52)",="",="(53)",="",="(54)",="",="(55)",="",="(56)",="",="(57)",="",="(58)",="",="(59)",="",="(60)",="",="(61)",="",="(62)",="",="(63)",="",="(64)",="",="(65)",="",="(66)",="",="(67)",="",="(68)",="",="(69)",="",="(70)",="",="(71)",="",="(72)",="",="(73)",="",="(74)",="",="(75)",="",="(76)",=""
="",="re_AIGranted_a",="",="re_AIGranted_a_2011_b",="",="re_AIGranted_a_2011_a",="",="re_AIGranted_a_2012_b",="",="re_AIGranted_a_2012_a",="",="re_AIGranted_a_2013_b",="",="re_AIGranted_a_2013_a",="",="re_AIGranted_a_2014_b",="",="re_AIGranted_a_2014_a",="",="re_AIGranted_a_2015_b",="",="re_AIGranted_a_2015_a",="",="re_AIGranted_a_2016_b",="",="re_AIGranted_a_2016_a",="",="re_AIGranted_a_2017_b",="",="re_AIGranted_a_2017_a",="",="re_AIGranted_a_2018_b",="",="re_AIGranted_a_2018_a",="",="re_AIGranted_a_2019_b",="",="re_AIGranted_a_2019_a",="",="re_AIPublished_a",="",="re_AIPublished_a_2011_b",="",="re_AIPublished_a_2011_a",="",="re_AIPublished_a_2012_b",="",="re_AIPublished_a_2012_a",="",="re_AIPublished_a_2013_b",="",="re_AIPublished_a_2013_a",="",="re_AIPublished_a_2014_b",="",="re_AIPublished_a_2014_a",="",="re_AIPublished_a_2015_b",="",="re_AIPublished_a_2015_a",="",="re_AIPublished_a_2016_b",="",="re_AIPublished_a_2016_a",="",="re_AIPublished_a_2017_b",="",="re_AIPublished_a_2017_a",="",="re_AIPublished_a_2018_b",="",="re_AIPublished_a_2018_a",="",="re_AIPublished_a_2019_b",="",="re_AIPublished_a_2019_a",="",="re_ICTGranted_a",="",="re_ICTGranted_a_2011_b",="",="re_ICTGranted_a_2011_a",="",="re_ICTGranted_a_2012_b",="",="re_ICTGranted_a_2012_a",="",="re_ICTGranted_a_2013_b",="",="re_ICTGranted_a_2013_a",="",="re_ICTGranted_a_2014_b",="",="re_ICTGranted_a_2014_a",="",="re_ICTGranted_a_2015_b",="",="re_ICTGranted_a_2015_a",="",="re_ICTGranted_a_2016_b",="",="re_ICTGranted_a_2016_a",="",="re_ICTGranted_a_2017_b",="",="re_ICTGranted_a_2017_a",="",="re_ICTGranted_a_2018_b",="",="re_ICTGranted_a_2018_a",="",="re_ICTGranted_a_2019_b",="",="re_ICTGranted_a_2019_a",="",="re_ICTPublished_a",="",="re_ICTPublished_a_2011_b",="",="re_ICTPublished_a_2011_a",="",="re_ICTPublished_a_2012_b",="",="re_ICTPublished_a_2012_a",="",="re_ICTPublished_a_2013_b",="",="re_ICTPublished_a_2013_a",="",="re_ICTPublished_a_2014_b",="",="re_ICTPublished_a_2014_a",="",="re_ICTPublished_a_2015_b",="",="re_ICTPublished_a_2015_a",="",="re_ICTPublished_a_2016_b",="",="re_ICTPublished_a_2016_a",="",="re_ICTPublished_a_2017_b",="",="re_ICTPublished_a_2017_a",="",="re_ICTPublished_a_2018_b",="",="re_ICTPublished_a_2018_a",="",="re_ICTPublished_a_2019_b",="",="re_ICTPublished_a_2019_a",=""
="AIGranted_a",="-0.552***",="(0.000)",="-15.760",="(0.708)",="-0.378**",="(0.005)",="18.143",="(0.542)",="-0.307*",="(0.017)",="26.370",="(0.233)",="-0.230+",="(0.058)",="25.182+",="(0.096)",="-0.166",="(0.198)",="17.016+",="(0.081)",="-0.149",="(0.371)",="5.698",="(0.404)",="-0.110",="(0.648)",="-2.515",="(0.653)",="0.257",="(0.420)",="-3.272",="(0.262)",="0.850",="(0.138)",="-1.774+",="(0.052)",="1.750+",="(0.089)",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="trend",="-0.003",="(0.299)",="-0.005",="(0.738)",="-0.014*",="(0.016)",="-0.012",="(0.410)",="-0.020**",="(0.006)",="-0.014",="(0.257)",="-0.026**",="(0.003)",="-0.013",="(0.173)",="-0.032**",="(0.006)",="-0.009",="(0.230)",="-0.033*",="(0.037)",="-0.002",="(0.758)",="-0.037",="(0.133)",="0.004",="(0.574)",="-0.078+",="(0.070)",="0.005",="(0.344)",="-0.151+",="(0.067)",="0.003",="(0.390)",="-0.272+",="(0.075)",="0.002",="(0.334)",="-0.018",="(0.375)",="-0.004",="(0.472)",="-0.022",="(0.218)",="-0.009",="(0.185)",="-0.010",="(0.220)",="-0.016+",="(0.088)",="-0.011",="(0.159)",="-0.022+",="(0.097)",="-0.008",="(0.211)",="-0.022",="(0.228)",="0.001",="(0.904)",="-0.026",="(0.276)",="0.005",="(0.209)",="-0.034",="(0.162)",="0.003",="(0.298)",="-0.034",="(0.265)",="0.003",="(0.322)",="-0.037",="(0.459)",="0.013+",="(0.092)",="-0.007",="(0.370)",="-0.005",="(0.730)",="-0.005",="(0.592)",="-0.021",="(0.248)",="-0.003",="(0.732)",="-0.038+",="(0.052)",="-0.002",="(0.788)",="-0.052*",="(0.014)",="0.001",="(0.930)",="-0.051*",="(0.024)",="0.001",="(0.859)",="-0.051*",="(0.040)",="0.004",="(0.551)",="-0.045+",="(0.058)",="0.006",="(0.366)",="-0.027",="(0.298)",="0.007",="(0.160)",="-0.028",="(0.505)",="-0.007",="(0.457)",="-0.004",="(0.339)",="-0.045**",="(0.002)",="-0.006+",="(0.072)",="-0.047***",="(0.001)",="-0.007*",="(0.045)",="-0.048***",="(0.000)",="-0.006+",="(0.077)",="-0.047***",="(0.000)",="-0.005",="(0.189)",="-0.046**",="(0.001)",="-0.001",="(0.856)",="-0.046**",="(0.004)",="0.003",="(0.564)",="-0.051**",="(0.005)",="0.003",="(0.464)",="-0.052*",="(0.036)",="0.004",="(0.431)",="-0.044",="(0.335)"
="AIPublished_a",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="-0.288***",="(0.000)",="15.170",="(0.638)",="-0.249***",="(0.000)",="28.628",="(0.275)",="-0.214**",="(0.003)",="8.973",="(0.169)",="-0.173*",="(0.021)",="9.437+",="(0.068)",="-0.140",="(0.106)",="6.782+",="(0.055)",="-0.138",="(0.213)",="1.040",="(0.588)",="-0.121",="(0.357)",="-0.823",="(0.186)",="-0.105",="(0.373)",="-0.393",="(0.128)",="-0.114",="(0.462)",="-0.300*",="(0.024)",="-0.071",="(0.824)",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="ICTGranted_a",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="-1.553**",="(0.001)",="-0.720",="(0.496)",="-1.029",="(0.140)",="0.098",="(0.920)",="-0.512",="(0.460)",="0.365",="(0.699)",="-0.006",="(0.992)",="0.586",="(0.509)",="0.385",="(0.500)",="0.458",="(0.589)",="0.283",="(0.646)",="0.253",="(0.730)",="0.171",="(0.801)",="-0.334",="(0.626)",="-0.359",="(0.615)",="-0.546",="(0.311)",="-1.970",="(0.281)",="-0.687+",="(0.054)",="-1.803",="(0.604)",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="ICTPublished_a",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="-0.249",="(0.407)",="2.907*",="(0.047)",="0.426",="(0.154)",="2.432*",="(0.011)",="0.380",="(0.124)",="1.869**",="(0.006)",="0.281",="(0.175)",="1.332**",="(0.006)",="0.176",="(0.388)",="0.892*",="(0.013)",="0.114",="(0.665)",="0.277",="(0.285)",="-0.018",="(0.960)",="-0.088",="(0.659)",="-0.209",="(0.540)",="-0.153",="(0.368)",="-0.260",="(0.586)",="-0.225",="(0.186)",="0.014",="(0.990)"
="_cons",="5.500***",="(0.000)",="5.517***",="(0.000)",="5.529***",="(0.000)",="5.384***",="(0.000)",="5.545***",="(0.000)",="5.348***",="(0.000)",="5.566***",="(0.000)",="5.354***",="(0.000)",="5.586***",="(0.000)",="5.402***",="(0.000)",="5.592***",="(0.000)",="5.476***",="(0.000)",="5.610***",="(0.000)",="5.535***",="(0.000)",="5.799***",="(0.000)",="5.542***",="(0.000)",="6.158**",="(0.001)",="5.526***",="(0.000)",="6.785*",="(0.015)",="5.521***",="(0.000)",="5.297***",="(0.000)",="5.534***",="(0.000)",="5.183***",="(0.000)",="5.544***",="(0.000)",="5.383***",="(0.000)",="5.559***",="(0.000)",="5.378***",="(0.000)",="5.574***",="(0.000)",="5.412***",="(0.000)",="5.575***",="(0.000)",="5.502***",="(0.000)",="5.590***",="(0.000)",="5.538***",="(0.000)",="5.639***",="(0.000)",="5.526***",="(0.000)",="5.647***",="(0.000)",="5.523***",="(0.000)",="5.626*",="(0.016)",="5.918***",="(0.000)",="5.610***",="(0.000)",="5.810***",="(0.000)",="5.456***",="(0.000)",="5.693***",="(0.000)",="5.410***",="(0.000)",="5.589***",="(0.000)",="5.367***",="(0.000)",="5.519***",="(0.000)",="5.410***",="(0.000)",="5.556***",="(0.000)",="5.457***",="(0.000)",="5.600***",="(0.000)",="5.601***",="(0.000)",="5.791***",="(0.000)",="5.655***",="(0.000)",="6.372**",="(0.005)",="5.692***",="(0.000)",="6.303+",="(0.096)",="5.584***",="(0.000)",="4.461***",="(0.001)",="5.344***",="(0.000)",="4.616***",="(0.000)",="5.388***",="(0.000)",="4.808***",="(0.000)",="5.456***",="(0.000)",="5.000***",="(0.000)",="5.524***",="(0.000)",="5.163***",="(0.000)",="5.563***",="(0.000)",="5.403***",="(0.000)",="5.655***",="(0.000)",="5.553***",="(0.000)",="5.822***",="(0.000)",="5.579***",="(0.000)",="5.871**",="(0.003)",="5.608***",="(0.000)",="5.610+",="(0.089)"
="N",="18",="",="6",="",="12",="",="7",="",="11",="",="8",="",="10",="",="9",="",="9",="",="10",="",="8",="",="11",="",="7",="",="12",="",="6",="",="13",="",="5",="",="14",="",="4",="",="18",="",="6",="",="12",="",="7",="",="11",="",="8",="",="10",="",="9",="",="9",="",="10",="",="8",="",="11",="",="7",="",="12",="",="6",="",="13",="",="5",="",="14",="",="4",="",="18",="",="6",="",="12",="",="7",="",="11",="",="8",="",="10",="",="9",="",="9",="",="10",="",="8",="",="11",="",="7",="",="12",="",="6",="",="13",="",="5",="",="14",="",="4",="",="18",="",="6",="",="12",="",="7",="",="11",="",="8",="",="10",="",="9",="",="9",="",="10",="",="8",="",="11",="",="7",="",="12",="",="6",="",="13",="",="5",="",="14",="",="4",=""
="p-values in parentheses"
