="",="(1)",="",="(2)",="",="(3)",="",="(4)",="",="(5)",="",="(6)",="",="(7)",="",="(8)",="",="(9)",="",="(10)",="",="(11)",="",="(12)",="",="(13)",="",="(14)",="",="(15)",="",="(16)",="",="(17)",="",="(18)",="",="(19)",="",="(20)",="",="(21)",="",="(22)",="",="(23)",="",="(24)",="",="(25)",="",="(26)",="",="(27)",="",="(28)",="",="(29)",="",="(30)",="",="(31)",="",="(32)",="",="(33)",="",="(34)",="",="(35)",="",="(36)",="",="(37)",="",="(38)",="",="(39)",="",="(40)",=""
="",="re_AIGranted_a",="",="re_AIGranted_a_2011_c",="",="re_AIGranted_a_2012_c",="",="re_AIGranted_a_2013_c",="",="re_AIGranted_a_2014_c",="",="re_AIGranted_a_2015_c",="",="re_AIGranted_a_2016_c",="",="re_AIGranted_a_2017_c",="",="re_AIGranted_a_2018_c",="",="re_AIGranted_a_2019_c",="",="re_AIPublished_a",="",="re_AIPublished_a_2011_c",="",="re_AIPublished_a_2012_c",="",="re_AIPublished_a_2013_c",="",="re_AIPublished_a_2014_c",="",="re_AIPublished_a_2015_c",="",="re_AIPublished_a_2016_c",="",="re_AIPublished_a_2017_c",="",="re_AIPublished_a_2018_c",="",="re_AIPublished_a_2019_c",="",="re_ICTGranted_a",="",="re_ICTGranted_a_2011_c",="",="re_ICTGranted_a_2012_c",="",="re_ICTGranted_a_2013_c",="",="re_ICTGranted_a_2014_c",="",="re_ICTGranted_a_2015_c",="",="re_ICTGranted_a_2016_c",="",="re_ICTGranted_a_2017_c",="",="re_ICTGranted_a_2018_c",="",="re_ICTGranted_a_2019_c",="",="re_ICTPublished_a",="",="re_ICTPublished_a_2011_c",="",="re_ICTPublished_a_2012_c",="",="re_ICTPublished_a_2013_c",="",="re_ICTPublished_a_2014_c",="",="re_ICTPublished_a_2015_c",="",="re_ICTPublished_a_2016_c",="",="re_ICTPublished_a_2017_c",="",="re_ICTPublished_a_2018_c",="",="re_ICTPublished_a_2019_c",=""
="AIGranted_a",="-2.153***",="(0.000)",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="trend",="-0.061***",="(0.000)",="-0.082***",="(0.001)",="-0.101***",="(0.000)",="-0.082***",="(0.000)",="-0.070***",="(0.000)",="-0.058***",="(0.001)",="-0.057***",="(0.000)",="-0.062***",="(0.000)",="-0.070***",="(0.000)",="-0.068***",="(0.000)",="-0.043**",="(0.004)",="-0.054*",="(0.023)",="-0.083***",="(0.000)",="-0.070***",="(0.001)",="-0.052**",="(0.003)",="-0.043**",="(0.007)",="-0.043**",="(0.005)",="-0.051***",="(0.001)",="-0.050**",="(0.004)",="-0.037*",="(0.031)",="0.001",="(0.979)",="-0.044",="(0.345)",="-0.089*",="(0.013)",="-0.068+",="(0.055)",="-0.045",="(0.172)",="-0.014",="(0.673)",="-0.000",="(0.990)",="-0.004",="(0.917)",="-0.026",="(0.481)",="-0.035",="(0.401)",="-0.084*",="(0.039)",="-0.174**",="(0.002)",="-0.180***",="(0.000)",="-0.148***",="(0.000)",="-0.118**",="(0.002)",="-0.087*",="(0.029)",="-0.087*",="(0.046)",="-0.111**",="(0.004)",="-0.092**",="(0.005)",="-0.080*",="(0.013)"
="re1",="",="",="-85.750",="(0.153)",="-144.915***",="(0.001)",="-73.508*",="(0.049)",="-34.130",="(0.252)",="7.248",="(0.752)",="24.478",="(0.142)",="32.985**",="(0.005)",="27.236**",="(0.006)",="7.530",="(0.399)",="",="",="-15.880",="(0.496)",="-53.885**",="(0.007)",="-36.793*",="(0.033)",="-14.897",="(0.194)",="-1.019",="(0.912)",="5.376",="(0.444)",="8.338+",="(0.083)",="1.360",="(0.594)",="-1.967",="(0.141)",="",="",="-5.996**",="(0.003)",="-6.293***",="(0.000)",="-6.680***",="(0.000)",="-7.273***",="(0.000)",="-7.091**",="(0.002)",="-7.364**",="(0.007)",="-5.071+",="(0.097)",="-2.309",="(0.494)",="-2.078",="(0.557)",="",="",="-0.873",="(0.415)",="-1.826*",="(0.041)",="-2.637*",="(0.019)",="-3.493*",="(0.016)",="-3.003",="(0.148)",="-0.057",="(0.983)",="3.461+",="(0.077)",="1.937",="(0.115)",="0.856",="(0.418)"
="re2",="",="",="83.926",="(0.162)",="143.310**",="(0.001)",="71.582+",="(0.055)",="32.032",="(0.282)",="-9.393",="(0.683)",="-26.493",="(0.112)",="-34.720**",="(0.003)",="-28.756**",="(0.003)",="-9.319",="(0.282)",="",="",="14.862",="(0.525)",="53.053**",="(0.008)",="35.836*",="(0.038)",="13.816",="(0.227)",="-0.078",="(0.993)",="-6.407",="(0.359)",="-9.215+",="(0.053)",="-2.327",="(0.339)",="0.781",="(0.496)",="",="",="1.372",="(0.202)",="2.822**",="(0.001)",="2.310**",="(0.007)",="1.880*",="(0.019)",="0.898",="(0.258)",="0.639",="(0.442)",="-0.407",="(0.643)",="-1.189",="(0.198)",="-1.128",="(0.202)",="",="",="1.831*",="(0.018)",="2.360***",="(0.000)",="2.124**",="(0.001)",="1.961**",="(0.006)",="1.179",="(0.162)",="-0.263",="(0.782)",="-1.617*",="(0.015)",="-1.263**",="(0.002)",="-1.008**",="(0.003)"
="AIPublished_a",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="-1.097***",="(0.000)",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="ICTGranted_a",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="-6.131**",="(0.003)",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="ICTPublished_a",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="-0.698",="(0.579)",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="_cons",="22.788***",="(0.000)",="22.835***",="(0.000)",="22.904***",="(0.000)",="22.870***",="(0.000)",="22.839***",="(0.000)",="22.767***",="(0.000)",="22.707***",="(0.000)",="22.642***",="(0.000)",="22.624***",="(0.000)",="22.712***",="(0.000)",="22.866***",="(0.000)",="22.880***",="(0.000)",="22.944***",="(0.000)",="22.947***",="(0.000)",="22.917***",="(0.000)",="22.865***",="(0.000)",="22.813***",="(0.000)",="22.746***",="(0.000)",="22.810***",="(0.000)",="22.901***",="(0.000)",="24.439***",="(0.000)",="24.085***",="(0.000)",="23.879***",="(0.000)",="24.136***",="(0.000)",="24.423***",="(0.000)",="24.566***",="(0.000)",="24.700***",="(0.000)",="24.185***",="(0.000)",="23.466***",="(0.000)",="23.371***",="(0.000)",="22.983***",="(0.000)",="22.370***",="(0.000)",="22.684***",="(0.000)",="23.212***",="(0.000)",="23.730***",="(0.000)",="23.766***",="(0.000)",="22.739***",="(0.000)",="21.332***",="(0.000)",="21.953***",="(0.000)",="22.396***",="(0.000)"
