="",="(1)",="",="(2)",="",="(3)",="",="(4)",="",="(5)",="",="(6)",="",="(7)",="",="(8)",="",="(9)",="",="(10)",="",="(11)",="",="(12)",="",="(13)",="",="(14)",="",="(15)",="",="(16)",="",="(17)",="",="(18)",="",="(19)",="",="(20)",="",="(21)",="",="(22)",="",="(23)",="",="(24)",="",="(25)",="",="(26)",="",="(27)",="",="(28)",="",="(29)",="",="(30)",="",="(31)",="",="(32)",="",="(33)",="",="(34)",="",="(35)",="",="(36)",="",="(37)",="",="(38)",="",="(39)",="",="(40)",=""
="",="re_AIGranted_a",="",="re_AIGranted_a_2011_c",="",="re_AIGranted_a_2012_c",="",="re_AIGranted_a_2013_c",="",="re_AIGranted_a_2014_c",="",="re_AIGranted_a_2015_c",="",="re_AIGranted_a_2016_c",="",="re_AIGranted_a_2017_c",="",="re_AIGranted_a_2018_c",="",="re_AIGranted_a_2019_c",="",="re_AIPublished_a",="",="re_AIPublished_a_2011_c",="",="re_AIPublished_a_2012_c",="",="re_AIPublished_a_2013_c",="",="re_AIPublished_a_2014_c",="",="re_AIPublished_a_2015_c",="",="re_AIPublished_a_2016_c",="",="re_AIPublished_a_2017_c",="",="re_AIPublished_a_2018_c",="",="re_AIPublished_a_2019_c",="",="re_ICTGranted_a",="",="re_ICTGranted_a_2011_c",="",="re_ICTGranted_a_2012_c",="",="re_ICTGranted_a_2013_c",="",="re_ICTGranted_a_2014_c",="",="re_ICTGranted_a_2015_c",="",="re_ICTGranted_a_2016_c",="",="re_ICTGranted_a_2017_c",="",="re_ICTGranted_a_2018_c",="",="re_ICTGranted_a_2019_c",="",="re_ICTPublished_a",="",="re_ICTPublished_a_2011_c",="",="re_ICTPublished_a_2012_c",="",="re_ICTPublished_a_2013_c",="",="re_ICTPublished_a_2014_c",="",="re_ICTPublished_a_2015_c",="",="re_ICTPublished_a_2016_c",="",="re_ICTPublished_a_2017_c",="",="re_ICTPublished_a_2018_c",="",="re_ICTPublished_a_2019_c",=""
="AIGranted_a",="-2.908***",="(0.000)",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="trend",="-0.239***",="(0.000)",="-0.260***",="(0.000)",="-0.283***",="(0.000)",="-0.265***",="(0.000)",="-0.251***",="(0.000)",="-0.237***",="(0.000)",="-0.236***",="(0.000)",="-0.240***",="(0.000)",="-0.246***",="(0.000)",="-0.246***",="(0.000)",="-0.220***",="(0.000)",="-0.229***",="(0.000)",="-0.264***",="(0.000)",="-0.253***",="(0.000)",="-0.232***",="(0.000)",="-0.221***",="(0.000)",="-0.220***",="(0.000)",="-0.226***",="(0.000)",="-0.222***",="(0.000)",="-0.215***",="(0.000)",="-0.177***",="(0.001)",="-0.238**",="(0.002)",="-0.289***",="(0.000)",="-0.268***",="(0.000)",="-0.237***",="(0.000)",="-0.197***",="(0.001)",="-0.179***",="(0.001)",="-0.179**",="(0.001)",="-0.195**",="(0.002)",="-0.222**",="(0.001)",="-0.284***",="(0.000)",="-0.400***",="(0.000)",="-0.402***",="(0.000)",="-0.364***",="(0.000)",="-0.325***",="(0.000)",="-0.288***",="(0.000)",="-0.289***",="(0.000)",="-0.316***",="(0.000)",="-0.293***",="(0.000)",="-0.279***",="(0.000)"
="re1",="",="",="-84.469",="(0.207)",="-159.076**",="(0.001)",="-89.575*",="(0.028)",="-44.916",="(0.170)",="5.033",="(0.843)",="22.285",="(0.233)",="29.911*",="(0.028)",="20.289+",="(0.088)",="5.488",="(0.583)",="",="",="-13.324",="(0.650)",="-58.818*",="(0.023)",="-45.045*",="(0.038)",="-19.480",="(0.174)",="-2.534",="(0.826)",="3.590",="(0.687)",="6.171",="(0.329)",="-0.882",="(0.789)",="-2.122",="(0.204)",="",="",="-6.850**",="(0.009)",="-7.233**",="(0.001)",="-7.750**",="(0.001)",="-8.525**",="(0.001)",="-8.305**",="(0.006)",="-8.841*",="(0.014)",="-6.643",="(0.111)",="-4.553",="(0.348)",="-1.938",="(0.689)",="",="",="-0.686",="(0.612)",="-1.846",="(0.115)",="-2.868*",="(0.045)",="-3.861*",="(0.039)",="-3.066",="(0.248)",="0.444",="(0.896)",="4.289+",="(0.100)",="2.371",="(0.176)",="1.407",="(0.323)"
="re2",="",="",="81.881",="(0.222)",="156.767**",="(0.001)",="86.942*",="(0.033)",="42.081",="(0.198)",="-7.934",="(0.755)",="-25.062",="(0.181)",="-32.428*",="(0.018)",="-22.697+",="(0.054)",="-8.081",="(0.403)",="",="",="11.993",="(0.684)",="57.712*",="(0.026)",="43.822*",="(0.044)",="18.107",="(0.205)",="1.135",="(0.921)",="-4.934",="(0.577)",="-7.390",="(0.235)",="-0.486",="(0.876)",="0.653",="(0.651)",="",="",="1.848",="(0.206)",="3.515**",="(0.004)",="3.027**",="(0.010)",="2.460*",="(0.025)",="1.191",="(0.270)",="0.939",="(0.405)",="-0.149",="(0.901)",="-0.771",="(0.549)",="-1.417",="(0.240)",="",="",="2.352*",="(0.017)",="2.896***",="(0.001)",="2.636**",="(0.002)",="2.385**",="(0.009)",="1.333",="(0.219)",="-0.371",="(0.760)",="-1.847*",="(0.033)",="-1.358*",="(0.016)",="-1.211**",="(0.007)"
="AIPublished_a",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="-1.395***",="(0.000)",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="ICTGranted_a",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="-7.032**",="(0.009)",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="ICTPublished_a",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="-0.460",="(0.773)",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="_cons",="57.474***",="(0.000)",="57.521***",="(0.000)",="57.602***",="(0.000)",="57.574***",="(0.000)",="57.541***",="(0.000)",="57.457***",="(0.000)",="57.398***",="(0.000)",="57.339***",="(0.000)",="57.345***",="(0.000)",="57.409***",="(0.000)",="57.562***",="(0.000)",="57.574***",="(0.000)",="57.648***",="(0.000)",="57.661***",="(0.000)",="57.630***",="(0.000)",="57.569***",="(0.000)",="57.521***",="(0.000)",="57.466***",="(0.000)",="57.551***",="(0.000)",="57.592***",="(0.000)",="59.338***",="(0.000)",="58.862***",="(0.000)",="58.641***",="(0.000)",="58.942***",="(0.000)",="59.318***",="(0.000)",="59.507***",="(0.000)",="59.721***",="(0.000)",="59.245***",="(0.000)",="58.708***",="(0.000)",="57.996***",="(0.000)",="57.502***",="(0.000)",="56.715***",="(0.000)",="57.135***",="(0.000)",="57.787***",="(0.000)",="58.411***",="(0.000)",="58.387***",="(0.000)",="57.158***",="(0.000)",="55.617***",="(0.000)",="56.395***",="(0.000)",="56.796***",="(0.000)"
