="",="(1)",="",="(2)",="",="(3)",="",="(4)",="",="(5)",="",="(6)",="",="(7)",="",="(8)",="",="(9)",="",="(10)",="",="(11)",="",="(12)",="",="(13)",="",="(14)",="",="(15)",="",="(16)",="",="(17)",="",="(18)",="",="(19)",="",="(20)",="",="(21)",="",="(22)",="",="(23)",="",="(24)",="",="(25)",="",="(26)",="",="(27)",="",="(28)",="",="(29)",="",="(30)",="",="(31)",="",="(32)",="",="(33)",="",="(34)",="",="(35)",="",="(36)",="",="(37)",="",="(38)",="",="(39)",="",="(40)",=""
="",="re_AIGranted_a",="",="re_AIGranted_a_2011_c",="",="re_AIGranted_a_2012_c",="",="re_AIGranted_a_2013_c",="",="re_AIGranted_a_2014_c",="",="re_AIGranted_a_2015_c",="",="re_AIGranted_a_2016_c",="",="re_AIGranted_a_2017_c",="",="re_AIGranted_a_2018_c",="",="re_AIGranted_a_2019_c",="",="re_AIPublished_a",="",="re_AIPublished_a_2011_c",="",="re_AIPublished_a_2012_c",="",="re_AIPublished_a_2013_c",="",="re_AIPublished_a_2014_c",="",="re_AIPublished_a_2015_c",="",="re_AIPublished_a_2016_c",="",="re_AIPublished_a_2017_c",="",="re_AIPublished_a_2018_c",="",="re_AIPublished_a_2019_c",="",="re_ICTGranted_a",="",="re_ICTGranted_a_2011_c",="",="re_ICTGranted_a_2012_c",="",="re_ICTGranted_a_2013_c",="",="re_ICTGranted_a_2014_c",="",="re_ICTGranted_a_2015_c",="",="re_ICTGranted_a_2016_c",="",="re_ICTGranted_a_2017_c",="",="re_ICTGranted_a_2018_c",="",="re_ICTGranted_a_2019_c",="",="re_ICTPublished_a",="",="re_ICTPublished_a_2011_c",="",="re_ICTPublished_a_2012_c",="",="re_ICTPublished_a_2013_c",="",="re_ICTPublished_a_2014_c",="",="re_ICTPublished_a_2015_c",="",="re_ICTPublished_a_2016_c",="",="re_ICTPublished_a_2017_c",="",="re_ICTPublished_a_2018_c",="",="re_ICTPublished_a_2019_c",=""
="AIGranted_a",="-0.547***",="(0.000)",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="year",="-0.003",="(0.325)",="-0.009*",="(0.048)",="-0.010*",="(0.019)",="-0.007",="(0.112)",="-0.004",="(0.354)",="-0.002",="(0.642)",="-0.001",="(0.642)",="-0.003",="(0.296)",="-0.004",="(0.180)",="-0.005",="(0.143)",="0.002",="(0.372)",="-0.001",="(0.840)",="-0.004",="(0.327)",="-0.002",="(0.654)",="0.002",="(0.585)",="0.003",="(0.337)",="0.003",="(0.315)",="0.002",="(0.544)",="0.003",="(0.286)",="0.003",="(0.352)",="0.014",="(0.105)",="0.001",="(0.940)",="-0.004",="(0.683)",="-0.000",="(0.979)",="0.005",="(0.571)",="0.011",="(0.246)",="0.013",="(0.125)",="0.014",="(0.116)",="0.015",="(0.147)",="0.007",="(0.532)",="-0.009",="(0.381)",="-0.032*",="(0.013)",="-0.029**",="(0.007)",="-0.023*",="(0.023)",="-0.016",="(0.110)",="-0.010",="(0.350)",="-0.010",="(0.375)",="-0.014",="(0.185)",="-0.010",="(0.295)",="-0.007",="(0.395)"
="re1",="",="",="-24.546+",="(0.070)",="-24.700*",="(0.024)",="-12.095",="(0.176)",="-2.619",="(0.713)",="3.923",="(0.459)",="7.032+",="(0.057)",="6.152*",="(0.026)",="3.566",="(0.148)",="2.072",="(0.295)",="",="",="-5.324",="(0.263)",="-8.533*",="(0.038)",="-5.531",="(0.110)",="-1.221",="(0.588)",="0.508",="(0.771)",="1.475",="(0.256)",="0.716",="(0.453)",="-0.613",="(0.224)",="-0.386",="(0.138)",="",="",="-1.588**",="(0.002)",="-1.633***",="(0.000)",="-1.698***",="(0.001)",="-1.797***",="(0.001)",="-1.792**",="(0.002)",="-1.891**",="(0.006)",="-1.786*",="(0.026)",="-1.852+",="(0.059)",="-0.879",="(0.360)",="",="",="-0.291",="(0.275)",="-0.478+",="(0.068)",="-0.642*",="(0.039)",="-0.777+",="(0.053)",="-0.702",="(0.192)",="-0.034",="(0.960)",="0.520",="(0.333)",="0.243",="(0.505)",="0.136",="(0.616)"
="re2",="",="",="24.089+",="(0.075)",="24.250*",="(0.026)",="11.591",="(0.195)",="2.077",="(0.771)",="-4.472",="(0.401)",="-7.551*",="(0.043)",="-6.629*",="(0.017)",="-4.030+",="(0.100)",="-2.522",="(0.191)",="",="",="5.058",="(0.289)",="8.283*",="(0.044)",="5.262",="(0.128)",="0.931",="(0.679)",="-0.797",="(0.648)",="-1.749",="(0.178)",="-0.984",="(0.297)",="0.305",="(0.512)",="0.085",="(0.698)",="",="",="0.403",="(0.135)",="0.538*",="(0.017)",="0.436*",="(0.039)",="0.316",="(0.111)",="0.157",="(0.409)",="0.133",="(0.503)",="0.056",="(0.793)",="0.065",="(0.787)",="-0.203",="(0.374)",="",="",="0.522*",="(0.011)",="0.528**",="(0.003)",="0.470**",="(0.007)",="0.399*",="(0.032)",="0.254",="(0.236)",="-0.069",="(0.775)",="-0.281",="(0.111)",="-0.220+",="(0.055)",="-0.237**",="(0.007)"
="AIPublished_a",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="-0.291***",="(0.000)",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="ICTGranted_a",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="-1.638**",="(0.002)",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="ICTPublished_a",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="-0.203",="(0.538)",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="_cons",="11.647+",="(0.074)",="23.461*",="(0.014)",="25.995**",="(0.005)",="19.374*",="(0.034)",="13.083",="(0.122)",="8.782",="(0.227)",="8.081",="(0.165)",="10.823*",="(0.047)",="13.534*",="(0.034)",="15.683*",="(0.033)",="0.512",="(0.926)",="7.190",="(0.390)",="12.952+",="(0.100)",="8.844",="(0.243)",="1.897",="(0.774)",="-0.375",="(0.950)",="0.037",="(0.994)",="2.040",="(0.720)",="-1.442",="(0.821)",="-0.892",="(0.895)",="-21.468",="(0.192)",="4.155",="(0.852)",="13.325",="(0.469)",="6.359",="(0.731)",="-4.382",="(0.808)",="-15.313",="(0.395)",="-20.535",="(0.223)",="-22.577",="(0.202)",="-24.442",="(0.233)",="-8.125",="(0.710)",="24.114",="(0.256)",="70.546**",="(0.008)",="64.178**",="(0.004)",="51.286*",="(0.013)",="37.174+",="(0.063)",="25.235",="(0.229)",="25.728",="(0.260)",="33.139",="(0.117)",="25.246",="(0.186)",="19.158",="(0.238)"
